odd,date
2.90,2021-04-25 14:25:52.456952
1.46,2021-04-25 14:26:07.686534
1.00,2021-04-25 14:26:19.848460
1.53,2021-04-25 14:26:38.087207
2.01,2021-04-25 14:26:59.503051
1.12,2021-04-25 14:27:11.636775
1.04,2021-04-25 14:27:23.839532
1.03,2021-04-25 14:27:36.056216
1.04,2021-04-25 14:27:45.190726
1.11,2021-04-25 14:27:57.380994
2.05,2021-04-25 14:28:21.703983
1.23,2021-04-25 14:28:33.874318
2.60,2021-04-25 14:29:16.415899
1.13,2021-04-25 14:29:28.588554
3.98,2021-04-25 14:30:02.120082
9.71,2021-04-25 14:30:53.733898
1.63,2021-04-25 14:31:11.981225
15.58,2021-04-25 14:32:06.732564
2.12,2021-04-25 14:32:31.089464
1.65,2021-04-25 14:32:49.254810
1.38,2021-04-25 14:33:04.516191
8.86,2021-04-25 14:33:53.143320
1.55,2021-04-25 14:34:11.308242
2.46,2021-04-25 14:34:35.508840
3.66,2021-04-25 14:35:08.962434
1.14,2021-04-25 14:35:21.057819
1.10,2021-04-25 14:35:33.159453
10.18,2021-04-25 14:36:21.605520
1.51,2021-04-25 14:36:39.715355
1.11,2021-04-25 14:36:51.785034
2.56,2021-04-25 14:37:18.975379
9.32,2021-04-25 14:38:07.344971
2.19,2021-04-25 14:38:31.484714
3.31,2021-04-25 14:39:01.788799
2.05,2021-04-25 14:39:23.032783
1.83,2021-04-25 14:39:44.232036
8.50,2021-04-25 14:40:29.531887
1.92,2021-04-25 14:40:50.688349
24.66,2021-04-25 14:41:54.309555
8.05,2021-04-25 14:42:39.855964
1.06,2021-04-25 14:42:52.016059
1.46,2021-04-25 14:43:10.222677
1.08,2021-04-25 14:43:22.325067
1.00,2021-04-25 14:43:31.476174
1.67,2021-04-25 14:43:49.660147
22.97,2021-04-25 14:44:53.502495
6.92,2021-04-25 14:45:36.034049
39.65,2021-04-25 14:46:48.966866
2.75,2021-04-25 14:47:16.357519
1.86,2021-04-25 14:47:37.608122
,2021-04-25 14:47:52.791742
1.49,2021-04-25 14:47:55.843087
1.30,2021-04-25 14:48:07.985680
6.30,2021-04-25 14:48:50.496608
1.10,2021-04-25 14:49:02.654256
1.09,2021-04-25 14:49:14.815766
3.01,2021-04-25 14:49:42.165783
1.07,2021-04-25 14:49:54.305569
1.79,2021-04-25 14:50:15.531716
9.30,2021-04-25 14:51:04.172148
1.49,2021-04-25 14:51:19.398749
1.18,2021-04-25 14:51:34.594297
2.00,2021-04-25 14:51:55.880508
5.81,2021-04-25 14:52:35.387218
1.83,2021-04-25 14:52:56.700786
2.05,2021-04-25 14:53:20.969196
4.09,2021-04-25 14:53:54.481648
1.03,2021-04-25 14:54:03.589762
11.17,2021-04-25 14:54:55.375542
7.93,2021-04-25 14:55:41.051043
1.34,2021-04-25 14:55:56.234143
1.83,2021-04-25 14:56:17.598098
1.66,2021-04-25 14:56:35.849553
1.18,2021-04-25 14:56:48.079805
1.80,2021-04-25 14:57:09.428217
1.07,2021-04-25 14:57:21.665297
10.25,2021-04-25 14:58:10.582219
3.79,2021-04-25 14:58:44.188754
1.31,2021-04-25 14:58:59.407667
1.18,2021-04-25 14:59:11.522817
16.92,2021-04-25 15:00:09.499518
1.52,2021-04-25 15:00:27.803924
6.68,2021-04-25 15:01:07.424947
3.93,2021-04-25 15:01:40.989483
1.06,2021-04-25 15:01:53.160409
1.91,2021-04-25 15:02:14.493362
13.28,2021-04-25 15:03:09.278885
1.18,2021-04-25 15:03:21.483281
4.01,2021-04-25 15:03:55.013739
4.50,2021-04-25 15:04:31.508602
4.07,2021-04-25 15:05:04.888305
2.40,2021-04-25 15:05:32.408711
95.89,2021-04-25 15:06:57.433791
1.00,2021-04-25 15:07:06.573443
1.10,2021-04-25 15:07:18.788234
1.05,2021-04-25 15:07:31.002164
4.05,2021-04-25 15:08:04.430817
1.10,2021-04-25 15:08:16.674997
21.61,2021-04-25 15:09:20.471302
1.60,2021-04-25 15:09:38.713578
1.88,2021-04-25 15:09:59.932912
14.22,2021-04-25 15:10:54.821535
1.07,2021-04-25 15:11:07.023682
1.87,2021-04-25 15:11:25.322973
2.67,2021-04-25 15:11:52.696534
1.18,2021-04-25 15:12:07.838231
2.76,2021-04-25 15:12:35.355122
7.89,2021-04-25 15:13:21.145919
20.23,2021-04-25 15:14:21.977729
20.14,2021-04-25 15:15:23.015977
1.69,2021-04-25 15:15:44.436340
1.87,2021-04-25 15:16:05.787349
1.01,2021-04-25 15:16:14.968734
2.26,2021-04-25 15:16:39.425816
1.06,2021-04-25 15:16:51.728587
1.21,2021-04-25 15:17:03.911122
1.28,2021-04-25 15:17:19.182634
2.43,2021-04-25 15:17:43.514667
5.71,2021-04-25 15:18:23.216270
1.80,2021-04-25 15:18:44.530671
2.94,2021-04-25 15:19:12.062889
8.52,2021-04-25 15:20:00.862110
1.00,2021-04-25 15:20:09.980961
18.11,2021-04-25 15:21:11.041072
1.28,2021-04-25 15:21:26.259329
1.53,2021-04-25 15:21:41.495887
1.58,2021-04-25 15:21:59.740384
1.51,2021-04-25 15:22:18.059231
3.84,2021-04-25 15:22:51.587407
6.47,2021-04-25 15:23:34.210613
756.69,2021-04-25 15:25:36.310381
2.51,2021-04-25 15:26:00.576799
2.27,2021-04-25 15:26:24.991181
1.61,2021-04-25 15:26:43.261976
1.49,2021-04-25 15:27:01.536617
3.31,2021-04-25 15:27:32.088950
4.92,2021-04-25 15:28:08.551295
1.22,2021-04-25 15:28:23.749778
,2021-04-25 15:28:35.987720
1.26,2021-04-25 15:28:39.042597
1.56,2021-04-25 15:28:54.187344
1.46,2021-04-25 15:29:12.498622
1.68,2021-04-25 15:29:30.824017
3.75,2021-04-25 15:30:04.364223
1.00,2021-04-25 15:30:16.586979
73.18,2021-04-25 15:31:38.999640
1.00,2021-04-25 15:31:48.152612
1.01,2021-04-25 15:31:57.317502
1.04,2021-04-25 15:32:09.581065
1.19,2021-04-25 15:32:21.765610
3.64,2021-04-25 15:32:55.317955
1.88,2021-04-25 15:33:16.598279
38.38,2021-04-25 15:34:26.771372
2.74,2021-04-25 15:34:57.219282
1.08,2021-04-25 15:35:09.475288
3.03,2021-04-25 15:35:36.889392
5.77,2021-04-25 15:36:16.539570
3.79,2021-04-25 15:36:50.134853
1.00,2021-04-25 15:36:59.329876
1.11,2021-04-25 15:37:11.495278
1.08,2021-04-25 15:37:23.682740
1.10,2021-04-25 15:37:35.892588
1.00,2021-04-25 15:37:48.097495
1.44,2021-04-25 15:38:03.334049
1.60,2021-04-25 15:38:24.703749
1.97,2021-04-25 15:38:46.087476
36.02,2021-04-25 15:39:56.182244
37.49,2021-04-25 15:41:06.305519
2.59,2021-04-25 15:41:33.755770
1.34,2021-04-25 15:41:48.977601
1.63,2021-04-25 15:42:07.288620
1.10,2021-04-25 15:42:19.620611
2.97,2021-04-25 15:42:50.188145
2.27,2021-04-25 15:43:14.542532
1.25,2021-04-25 15:43:26.727680
1.31,2021-04-25 15:43:41.958408
3.41,2021-04-25 15:44:12.627549
1.59,2021-04-25 15:44:30.965881
1.10,2021-04-25 15:44:43.119999
,2021-04-25 15:45:01.556835
1.61,2021-04-25 15:45:04.588288
2.72,2021-04-25 15:45:28.990183
1.00,2021-04-25 15:45:41.172643
15.00,2021-04-25 15:46:35.906957
1.00,2021-04-25 15:46:48.158744
1.08,2021-04-25 15:46:57.275834
1.00,2021-04-25 15:47:09.437886
157.34,2021-04-25 15:48:43.764495
1.35,2021-04-25 15:48:59.054732
1.42,2021-04-25 15:49:17.321466
5.17,2021-04-25 15:49:53.806157
1.96,2021-04-25 15:50:15.154339
3.15,2021-04-25 15:50:45.735006
3.88,2021-04-25 15:51:19.129931
2.53,2021-04-25 15:51:46.632079
1.00,2021-04-25 15:51:55.720283
2.92,2021-04-25 15:52:26.155589
1.07,2021-04-25 15:52:35.283491
6.98,2021-04-25 15:53:20.996394
1.19,2021-04-25 15:53:33.154705
1.14,2021-04-25 15:53:45.299491
1.49,2021-04-25 15:54:03.560730
1.64,2021-04-25 15:54:21.877541
3.00,2021-04-25 15:54:52.351184
10.71,2021-04-25 15:55:40.998486
8.26,2021-04-25 15:56:26.584504
1.76,2021-04-25 15:56:47.828666
1.31,2021-04-25 15:57:03.097702
2.18,2021-04-25 15:57:27.478029
1.37,2021-04-25 15:57:42.681440
1.01,2021-04-25 15:57:51.883044
1.13,2021-04-25 15:58:07.147708
3.95,2021-04-25 15:58:39.138761
2.50,2021-04-25 15:59:06.394688
1.71,2021-04-25 15:59:24.542205
3.85,2021-04-25 15:59:58.011021
3.12,2021-04-25 16:00:28.578862
1.00,2021-04-25 16:00:37.659358
8.56,2021-04-25 16:01:23.180817
4.28,2021-04-25 16:01:59.646472
3.39,2021-04-25 16:02:29.961694
1.61,2021-04-25 16:02:48.123637
1.46,2021-04-25 16:03:06.412316
1.13,2021-04-25 16:03:18.607390
1.03,2021-04-25 16:03:27.721308
1.83,2021-04-25 16:03:48.920572
1.38,2021-04-25 16:04:07.124698
2.84,2021-04-25 16:04:34.494471
1.75,2021-04-25 16:04:52.655601
1.20,2021-04-25 16:05:07.787239
6.73,2021-04-25 16:05:50.178633
1.01,2021-04-25 16:06:02.369725
8.53,2021-04-25 16:06:47.872495
30.11,2021-04-25 16:07:54.774119
1.25,2021-04-25 16:08:09.917570
3.30,2021-04-25 16:08:40.319861
2.92,2021-04-25 16:09:07.683683
1.10,2021-04-25 16:09:19.851296
1.68,2021-04-25 16:09:38.082933
1.72,2021-04-25 16:09:59.419125
1.46,2021-04-25 16:10:14.670571
2.46,2021-04-25 16:10:41.983027
1.62,2021-04-25 16:11:00.234456
1.00,2021-04-25 16:11:12.385159
1.64,2021-04-25 16:11:30.617401
1.16,2021-04-25 16:11:42.850999
1.01,2021-04-25 16:11:55.066037
2.56,2021-04-25 16:12:19.437233
1.51,2021-04-25 16:12:37.680613
2.36,2021-04-25 16:13:01.934913
1.56,2021-04-25 16:13:20.179223
1.00,2021-04-25 16:13:32.277859
3.45,2021-04-25 16:14:02.630075
1.27,2021-04-25 16:14:17.776884
1.04,2021-04-25 16:14:26.878534
2.61,2021-04-25 16:14:54.266458
1.19,2021-04-25 16:15:09.442819
1.38,2021-04-25 16:15:24.642426
1.28,2021-04-25 16:15:39.894901
1.06,2021-04-25 16:15:49.137489
